WT.GSM130365	WT.GSM130366	WT.GSM130367	KO.GSM130368	KO.GSM130369	KO.GSM130370
100716_at	4.85299758761332	4.90689059560852	5.62643913669732	7.57288966842058	7.79116288855502	7.29920801838728
100914_at	10.3408515267297	9.91707366287822	10.2500615027172	12.2487874165856	12.1855258962923	12.1271237999907
101368_at	9.93722667397948	10.2046934013605	10.3852153070935	12.2703537339958	12.2134991747481	12.078184172174
101550_at	5.52669484554198	5.43962313755712	6.22110372536788	2.13750352374994	2.90689059560852	2.03562390973072
101635_f_at	7.1053847492476	6.72246602447109	6.94368695159709	5.2667865406949	4.84297883178833	4.64385618977472
101883_s_at	5.76818432477693	6.12722055048807	5.1333991254172	11.5642924183455	11.6795680660334	11.6635136308117
102712_at	4.67807190511264	5.56071495447448	5.22881869049588	8.05148086534133	7.94485844580754	7.63734941083314
102726_at	3.82781902461732	2.94485844580754	3.40599235967584	5.84799690655495	5.63517394667492	5.78659636189081
103088_at	4.4594316186373	4.97727992349992	4.17791779219584	1.67807190511264	2	1.76553474636298
103244_at	4.8073549220576	5.74146698640115	5.06608919045777	7.88752527074159	7.6906964439777	7.67595703294175
103299_at	6.01792190799726	6.01122725542325	5.2667865406949	3.08746284125034	2.67807190511264	3.29278174922785
104425_at	5.88508622529017	5.21723071622067	5.08746284125034	2.16992500144231	3.15380533607904	1.92599941855622
104480_at	8.20994068029019	8.4590217038623	7.57591736111815	9.97283622717858	10.3701424794954	10.0091287895393
104526_at	5.10852445677817	5.877744249949	5.25550073314839	7.36282052553426	7.16188768237689	7.73470962022584
104700_at	7.36457243229586	7.73470962022584	7.42038134119664	5.16591193893569	4.78659636189081	5.15785216914174
160172_at	6.52512925120397	6.24031432933371	7.07360604057494	9.57988158943627	9.53449743373817	9.78086780181646
160943_at	4.47248777146274	4.76022094646651	4.83794324189103	8.37721053038855	8.23697088625934	8.13391281423904
162349_i_at	4	3.8972404255748	3.60880924267552	6.14771372235215	5.98413359454098	5.90929308582382
162395_r_at	2.84799690655495	1.72246602447109	2.86789646399265	6.05093696522523	6.08321336824898	5.18189764310839
162405_at	4.34340782229781	5.05311133645956	4.39231742277876	2.0703893278914	3.05311133645956	2.0703893278914
92331_at	5.36106648879432	4.01792190799726	4.90689059560852	7.78724960846791	7.79246495997995	8.24792751344359
92681_at	6.97842446544086	7.21237478756727	6.36106648879432	4.24792751344359	4.53605290024021	5.18982455888002
92708_at	8.80186999636449	8.82591279878497	9.12153351734003	11.0294252773048	11.01325287517	11.0068870564812
93028_at	8.88691589584725	9.08347932733184	8.83888875478618	12.2906524795495	12.3535879491954	12.3699789611575
93541_at	10.1706762094993	10.0302533020305	9.88554386051713	8.04439411935845	7.78004757606187	7.8856963733394
93691_s_at	9.76105251893802	9.89193555786198	10.0836122884896	6.63081315229913	7.28169825009883	7.06931549454008
94027_at	10.4559436249458	10.1736771363034	10.0758802137655	12.6891680958035	12.660419365591	12.6554636403015
94028_f_at	8.14618679149074	7.98925256516599	7.79701297783614	10.4632178190948	10.5998198820375	10.6563354741987
94085_at	3.49825086752783	4.26303440583379	3.79701297783614	6.63952159951083	7.3389591754152	7.55151601762801
94421_r_at	5.67525138605026	4.71149490665009	5.34340782229781	3.59693514238723	2.72246602447109	3.16992500144231
95291_r_at	1.63226821549951	0.925999418556223	1.43295940727611	5.18982455888002	5.3037807481771	4.70597790168252
95430_f_at	7.72519581722666	8.24269776790801	7.3819754785573	10.0677032443732	10.205548911173	10.3588709396856
95471_at	11.5406608362733	11.5125923345585	11.281640300066	9.35513082082458	9.43379405875492	9.4487357980294
95919_at	5.96809075204526	5.94485844580754	6.72109918870719	8.61765111942733	7.96289600533726	8.25974326369078
96046_at	11.1820218367159	11.1030910638554	11.2334998466138	6.88630626345243	6.78267065867701	7.62278396615612
96643_at	8.68404726161302	8.68053534400517	8.54032180596415	10.5742150658871	10.6713641466012	10.6668453376198
97661_at	3.10433665981474	3.74416109557041	3.18586654531133	5.15785216914174	6.05961485629722	6.11270013274936
98347_at	5.64385618977472	5.75755668893945	6.42794133250948	3.29278174922785	3.76553474636298	3.47248777146274
98621_at	6.52825874275841	6.53605290024021	6.6724253419715	4.28540221886225	4.12928301694497	4.70597790168252
98623_g_at	11.9232160474099	11.8742129348309	12.0017600283272	9.85346551400508	9.52864945231825	9.49165270810227
98813_at	2.53605290024021	2.82781902461732	2.29278174922785	5.51727569320958	5.3110671022556	5.82527683005487
99472_at	4.92599941855622	4.37155886261196	4.81762325751143	6.73335434061383	7.50541460934675	6.42122329922514
